,Pandoro,GarlicPastry,AlmondCroissant,PainAuChocolat,ChocoDippedCroissant,FruitCreamCroissant,Croissant,PlainBread,RedBeanBun
12/14/19,0,0,0,1,0,7,2,4,11
12/15/19,0,0,1,1,5,2,1,0,15
12/16/19,0,0,0,2,1,5,1,1,11
12/18/19,2,0,0,4,1,2,2,3,16
12/19/19,1,0,0,5,1,4,5,5,11
12/20/19,0,0,2,0,0,3,2,4,8
12/21/19,0,0,1,5,3,3,6,1,8
12/22/19,2,0,0,2,0,6,7,8,10
12/23/19,0,0,1,2,3,2,2,1,8
12/24/19,0,0,0,0,0,2,0,0,4
12/25/19,0,0,0,0,0,3,4,5,5
12/26/19,0,0,0,0,1,4,1,1,4
12/27/19,0,0,0,2,0,2,1,1,2
12/28/19,4,0,2,4,5,9,12,7,23
12/29/19,2,0,1,4,3,5,0,6,14
12/30/19,2,0,2,6,0,8,4,2,16
1/2/20,2,0,1,3,1,4,3,5,18
1/3/20,5,0,1,1,0,6,4,4,12
1/4/20,0,0,0,1,1,1,0,1,9
1/5/20,0,0,1,2,3,3,3,5,20
1/6/20,1,0,0,3,0,3,7,2,4
1/8/20,0,0,0,1,1,4,4,3,28
1/9/20,5,0,0,2,0,6,2,9,20
1/10/20,0,0,0,2,3,3,1,1,10
1/11/20,3,0,0,1,0,9,3,0,10
1/12/20,3,0,1,4,5,1,5,9,19
1/13/20,2,0,1,2,1,2,3,2,6
1/15/20,5,0,2,4,3,12,4,5,15
1/16/20,0,0,0,0,0,0,1,2,2
1/17/20,1,0,0,1,1,0,3,3,7
1/18/20,0,0,1,1,2,5,5,6,9
1/19/20,4,0,2,2,7,8,1,8,21
1/20/20,1,0,0,1,0,3,7,0,3
1/22/20,1,0,0,2,0,2,4,4,7
1/23/20,5,0,0,3,1,6,1,7,29
1/24/20,0,0,0,2,0,2,0,1,3
1/26/20,1,0,1,1,2,3,6,4,8
1/27/20,3,0,0,2,4,4,4,0,9
1/29/20,1,0,1,0,1,3,0,3,7
1/30/20,0,0,1,3,3,4,8,5,15
1/31/20,2,0,3,2,0,5,0,8,9
2/1/20,0,0,0,4,2,4,2,3,13
2/2/20,5,0,1,3,1,6,9,13,21
2/3/20,1,0,0,0,0,2,2,0,12
2/5/20,3,0,2,2,1,7,2,6,21
2/6/20,1,0,2,1,1,4,6,4,15
2/7/20,3,0,3,4,1,1,4,8,13
2/8/20,3,0,0,6,2,3,5,8,16
2/9/20,4,0,1,2,2,3,3,11,20
2/10/20,0,0,1,3,1,2,1,1,2
2/12/20,2,0,2,6,5,9,7,2,21
2/13/20,0,0,2,2,0,2,1,0,6
2/14/20,8,0,1,7,0,4,3,0,17
2/15/20,2,0,1,3,2,3,8,6,9
2/16/20,2,0,0,3,1,3,10,12,19
2/17/20,0,0,4,2,3,5,4,0,9
2/19/20,0,0,2,4,1,3,7,5,15
2/20/20,2,0,1,1,0,9,5,5,19
2/21/20,0,0,2,0,2,1,7,6,6
2/22/20,5,0,0,6,3,7,7,7,23
2/23/20,6,0,0,6,3,14,15,15,29
2/24/20,1,0,0,2,1,3,6,0,16
2/26/20,2,0,3,3,6,5,5,7,22
2/27/20,0,0,0,3,1,6,3,4,12
2/28/20,1,0,2,2,5,3,3,8,19
2/29/20,4,0,3,4,2,2,3,6,16
3/1/20,3,0,2,2,4,8,4,8,18
3/2/20,2,0,0,3,0,7,7,12,15
3/5/20,1,0,2,4,5,9,5,11,31
3/6/20,2,0,0,3,2,4,10,8,17
3/7/20,5,0,0,2,4,6,4,9,14
3/8/20,1,0,3,3,4,6,4,12,21
3/9/20,3,0,0,3,1,5,1,5,6
3/11/20,5,0,1,3,1,2,6,7,14
3/12/20,1,0,0,5,0,7,3,7,17
3/13/20,0,0,0,2,0,7,6,2,16
3/14/20,3,0,1,3,2,6,1,6,10
3/15/20,2,0,2,5,5,6,5,7,11
3/16/20,0,0,0,5,0,6,8,11,18
3/18/20,1,0,3,5,2,4,7,9,22
3/19/20,0,0,2,1,0,3,2,6,10
3/20/20,0,0,0,4,1,0,5,4,7
3/21/20,2,0,0,5,3,6,9,11,27
3/22/20,0,0,2,3,0,3,2,4,24
3/23/20,3,0,0,4,2,7,2,6,14
3/25/20,1,0,0,4,2,5,3,3,16
3/26/20,1,0,0,6,3,4,3,4,17
3/27/20,0,0,0,4,5,5,4,5,10
3/28/20,2,0,1,3,2,6,5,4,10
3/29/20,1,0,1,4,1,6,9,7,21
3/30/20,1,0,1,5,2,4,5,4,17
4/1/20,1,0,1,5,1,5,2,3,16
4/2/20,1,0,1,5,0,7,5,6,28
4/3/20,2,0,0,0,3,3,4,6,9
4/4/20,2,0,0,1,0,3,8,2,10
4/5/20,2,0,1,3,4,4,3,7,14
4/6/20,0,0,0,2,0,3,2,5,9
4/8/20,0,0,0,1,2,7,8,4,17
4/9/20,1,0,0,0,2,4,5,4,10
4/10/20,1,0,0,2,4,5,3,4,6
4/11/20,3,0,1,1,3,7,2,1,3
4/12/20,2,0,1,4,4,4,2,4,16
4/13/20,1,0,0,0,0,1,1,0,1
4/15/20,1,0,1,3,2,2,2,3,16
4/16/20,1,0,1,0,1,1,0,3,6
4/17/20,0,0,1,0,0,4,3,4,11
4/18/20,1,0,0,3,2,7,6,5,15
4/19/20,0,0,0,1,3,2,0,2,15
4/20/20,0,0,0,6,0,4,8,3,12
4/22/20,3,0,1,8,2,5,5,3,19
4/23/20,4,0,1,8,1,3,3,4,7
4/24/20,1,0,3,0,3,6,1,3,8
4/25/20,8,0,2,4,2,6,6,6,18
4/26/20,1,0,1,3,1,4,9,6,20
4/27/20,0,0,0,6,6,8,8,7,11
4/29/20,1,0,0,1,0,4,2,7,7
4/30/20,1,0,1,2,2,4,1,3,7
5/1/20,0,0,2,3,1,6,5,4,15
5/2/20,0,0,0,2,1,3,1,1,4
